accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR24967711	SRP444808	new	PRJNA982532	SAMN35708964	Spring_2018_Pond5_2	Pond5_2	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_239_SL378990.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_239_SL378990.fastq.gz						
SRR24967710	SRP444808	new	PRJNA982532	SAMN35708965	Spring_2018_Pond25_9	Pond25_9	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_436_SL378991.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_436_SL378991.fastq.gz						
SRR24967709	SRP444808	new	PRJNA982532	SAMN35708966	Spring_2018_Pond22_50	Pond22_50	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_438_SL378992.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_438_SL378992.fastq.gz						
SRR24967708	SRP444808	new	PRJNA982532	SAMN35708967	April_2017_D8_515R	D8_515R	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_509_SL378994.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_509_SL378994.fastq.gz						
SRR24967707	SRP444808	new	PRJNA982532	SAMN35708968	Spring_2018_Pond5_8	Pond5_8	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_685_SL378995.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_685_SL378995.fastq.gz						
SRR24967705	SRP444808	new	PRJNA982532	SAMN35708969	Spring_2018_Pond6_14	Pond6_14	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_700_SL378996.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_700_SL378996.fastq.gz						
SRR24967704	SRP444808	new	PRJNA982532	SAMN35708970	Spring_2018_Pond17_3	Pond17_3	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_71_SL378988.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_71_SL378988.fastq.gz						
SRR24967703	SRP444808	new	PRJNA982532	SAMN35708971	Spring_2018_Pond17_51	Pond17_51	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_239_SL378999.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_239_SL378999.fastq.gz						
SRR24967702	SRP444808	new	PRJNA982532	SAMN35708972	Spring_2012_C_14	C_14	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_436_SL379000.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_436_SL379000.fastq.gz						
SRR24967701	SRP444808	new	PRJNA982532	SAMN35708973	Spring_2018_Pond25_20	Pond25_20	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_438_SL379001.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_438_SL379001.fastq.gz						
SRR24967700	SRP444808	new	PRJNA982532	SAMN35708974	Spring_2018_Pond22_51	Pond22_51	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_509_SL379002.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_509_SL379002.fastq.gz						
SRR24967699	SRP444808	new	PRJNA982532	SAMN35708975	Spring_2018_Pond22_52	Pond22_52	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_685_SL379003.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_685_SL379003.fastq.gz						
SRR24967698	SRP444808	new	PRJNA982532	SAMN35708976	Spring_2018_Pond25_23	Pond25_23	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_700_SL379005.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_700_SL379005.fastq.gz						
SRR24967697	SRP444808	new	PRJNA982532	SAMN35708977	Spring_2018_Pond5_9	Pond5_9	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_675-index_8nt_N5_71_SL378997.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_675-index_8nt_N5_71_SL378997.fastq.gz						
SRR24967696	SRP444808	new	PRJNA982532	SAMN35708978	Spring_2018_Pond6_16	Pond6_16	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_184_SL379007.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_184_SL379007.fastq.gz						
SRR24967694	SRP444808	new	PRJNA982532	SAMN35708979	Spring_2018_Pond17_4	Pond17_4	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_239_SL379008.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_239_SL379008.fastq.gz						
SRR24967693	SRP444808	new	PRJNA982532	SAMN35708980	Spring_2018_Pond17_59	Pond17_59	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_436_SL379009.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_436_SL379009.fastq.gz						
SRR24967692	SRP444808	new	PRJNA982532	SAMN35708981	March_2018_DCat_18004	DCat_18004	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_438_SL379010.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_438_SL379010.fastq.gz						
SRR24967691	SRP444808	new	PRJNA982532	SAMN35708982	Spring_2018_Pond22_60	Pond22_60	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_509_SL379011.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_509_SL379011.fastq.gz						
SRR24967690	SRP444808	new	PRJNA982532	SAMN35708983	Spring_2018_Pond30_5	Pond30_5	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_685_SL379012.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_685_SL379012.fastq.gz						
SRR24967689	SRP444808	new	PRJNA982532	SAMN35708984	Spring_2018_Pond6_2	Pond6_2	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_687-index_8nt_N5_71_SL379006.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_687-index_8nt_N5_71_SL379006.fastq.gz						
SRR24967688	SRP444808	new	PRJNA982532	SAMN35708985	Spring_2018_Pond6_17	Pond6_17	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_239_SL379017.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_239_SL379017.fastq.gz						
SRR24967687	SRP444808	new	PRJNA982532	SAMN35708986	Spring_2018_Pond17_5	Pond17_5	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_436_SL379018.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_436_SL379018.fastq.gz						
SRR24967686	SRP444808	new	PRJNA982532	SAMN35708987	Spring_2018_Pond17_61	Pond17_61	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_438_SL379019.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_438_SL379019.fastq.gz						
SRR24967685	SRP444808	new	PRJNA982532	SAMN35708988	March_2018_D8_18030	D8_18030	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_509_SL379020.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_509_SL379020.fastq.gz						
SRR24967683	SRP444808	new	PRJNA982532	SAMN35708989	Spring_2018_Pond19_6	Pond19_6	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_685_SL379021.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_685_SL379021.fastq.gz						
SRR24967682	SRP444808	new	PRJNA982532	SAMN35708990	Spring_2018_Pond2_2	Pond2_2	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_700_SL379022.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_700_SL379022.fastq.gz						
SRR24967681	SRP444808	new	PRJNA982532	SAMN35708991	Spring_2018_Pond2_10	Pond2_10	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_711-index_8nt_N5_71_SL379014.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_711-index_8nt_N5_71_SL379014.fastq.gz						
